Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	99	99	99	99	99	99	99	10
0	0	0	0	0	0	0	0	1024
1	1	1	1	1	1	1	1	1024
2	1	1	1	1	1	1	1	1024
3	1	1	1	1	1	1	1	1024
4	1	1	1	1	1	1	1	1024
5	1	1	1	1	1	1	1	1024
6	1	1	1	1	1	1	1	1024
7	1	1	1	1	1	1	1	1024
8	1	1	1	1	1	1	1	1024
9	1	1	1	1	1	1	1	1024
10	1	1	1	1	1	1	1	1024
11	1	1	1	1	1	1	1	1024
12	1	1	1	1	1	1	1	1024
13	1	1	1	1	1	1	1	1024
14	1	1	1	1	1	1	1	1024
15	1	1	1	1	1	1	1	1024
16	1	1	1	1	1	1	1	1024
17	1	1	1	1	1	1	1	1024
18	1	1	1	1	1	1	1	1024
19	1	1	1	1	1	1	1	1024
20	1	1	1	1	1	1	1	1024
21	1	1	1	1	1	1	1	1024
22	1	1	1	1	1	1	1	1024
23	1	1	1	1	1	1	1	1024
24	1	1	1	1	1	1	1	1024
25	1	1	1	1	1	1	1	1024
26	1	1	1	1	1	1	1	1024
27	1	1	1	1	1	1	1	1024
28	1	1	1	1	1	1	1	1024
29	1	1	1	1	1	1	1	1024
30	1	1	1	1	1	1	1	1024
31	1	1	1	1	1	1	1	1024
32	1	1	1	1	1	1	1	1024
33	1	1	1	1	1	1	1	1024
34	1	1	1	1	1	1	1	1024
35	1	1	1	1	1	1	1	1024
36	1	1	1	1	1	1	1	1024
37	1	1	1	1	1	1	1	1024
38	1	1	1	1	1	1	1	1024
39	1	1	1	1	1	1	1	1024
40	1	1	1	1	1	1	1	1024
41	1	1	1	1	1	1	1	1024
42	1	1	1	1	1	1	1	1024
43	1	1	1	1	1	1	1	1024
44	1	1	1	1	1	1	1	1024
45	1	1	1	1	1	1	1	1024
46	1	1	1	1	1	1	1	1024
47	1	1	1	1	1	1	1	1024
48	1	1	1	1	1	1	1	1024
49	1	1	1	1	1	1	1	1024
50	1	1	1	1	1	1	1	1024
51	1	1	1	1	1	1	1	1024
52	1	1	1	1	1	1	1	1024
53	1	1	1	1	1	1	1	1024
54	1	1	1	1	1	1	1	1024
55	1	1	1	1	1	1	1	1024
56	1	1	1	1	1	1	1	1024
57	1	1	1	1	1	1	1	1024
58	1	1	1	1	1	1	1	1024
59	1	1	1	1	1	1	1	1024
60	1	1	1	1	1	1	1	1024
61	1	1	1	1	1	1	1	1024
62	1	1	1	1	1	1	1	1024
63	1	1	1	1	1	1	1	1024
64	1	1	1	1	1	1	1	1024
65	1	1	1	1	1	1	1	1024
66	1	1	1	1	1	1	1	1024
67	1	1	1	1	1	1	1	1024
68	1	1	1	1	1	1	1	1024
69	1	1	1	1	1	1	1	1024
70	1	1	1	1	1	1	1	976
71	1	1	1	1	1	1	1	928
72	1	1	1	1	1	1	1	880
73	1	1	1	1	1	1	1	832
74	1	1	1	1	1	1	1	784
75	1	1	1	1	1	1	1	736
76	1	1	1	1	1	1	1	688
77	1	1	1	1	1	1	1	640
78	1	1	1	1	1	1	1	592
79	1	1	1	1	1	1	1	544
80	1	1	1	1	1	1	1	496
81	1	1	1	1	1	1	1	448
82	1	1	1	1	1	1	1	400
83	1	1	1	1	1	1	1	352
84	1	1	1	1	1	1	1	304
85	1	1	1	1	1	1	1	256
86	1	1	1	1	1	1	1	192
87	1	1	1	1	1	1	1	144
88	1	1	1	1	1	1	1	108
89	1	1	1	1	1	1	1	81
90	1	1	1	1	1	1	1	61
91	1	1	1	1	1	1	1	46
92	1	1	1	1	1	1	1	35
93	1	1	1	1	1	1	1	26
94	1	1	1	1	1	1	1	20
95	1	1	1	1	1	1	1	15
96	1	1	1	1	1	1	1	11
97	1	1	1	1	1	1	1	8
98	1	1	1	1	1	1	1	6
99	1	1	1	1	1	1	1	5
