Hireling	*SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Dmg-Min	Dmg-Max	Dmg/Lvl	ResistFire	ResistFire/Lvl	ResistCold	ResistCold/Lvl	ResistLightning	ResistLightning/Lvl	ResistPoison	ResistPoison/Lvl	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	HiringMaxLevelDifference	resurrectcostmultiplier	resurrectcostdivisor	resurrectcostmax
Rogue Scout	Fire - Normal	0	0	271	1	1	13	150	merc01	merc41	100	100	51	9	18	6	35	10	45	16	10	10	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	75	Inner Sight	4	10	0	1	10	Fire Arrow	4	25	8	1	10																									5	15	2	50000
Rogue Scout	Fire - Normal	0	0	271	1	1	35	150	merc01	merc41	100	100	249	15	165	12	63	10	89	16	230	20	7	9	4	44	7	44	7	44	7	44	7	strhirespecial1	75	Inner Sight	4	10	0	8	10	Fire Arrow	4	69	0	8	10																									5	15	2	50000
Rogue Scout	Fire - Normal	0	0	271	1	1	59	150	merc01	merc41	100	100	600	30	489	21	93	10	137	16	710	30	19	21	6	86	5	86	5	86	5	86	5	strhirespecial1	75	Inner Sight	4	10	0	16	10	Fire Arrow	4	69	0	16	10																									5	15	2	50000
Rogue Scout	Ice - Normal	0	1	271	1	1	13	150	merc01	merc41	150	105	51	9	18	6	35	10	45	16	10	10	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	75	Inner Sight	4	10	0	1	10	Cold Arrow	4	25	2	1	10																									5	15	2	50000
Rogue Scout	Ice - Normal	0	1	271	1	1	35	150	merc01	merc41	150	105	249	12	165	12	63	10	89	16	230	20	7	9	4	44	7	44	7	44	7	44	7	strhirespecial2	75	Inner Sight	4	10	0	8	10	Cold Arrow	4	36	0	8	10																									5	15	2	50000
Rogue Scout	Ice - Normal	0	1	271	1	1	59	150	merc01	merc41	150	105	573	18	489	21	93	10	137	16	710	30	19	21	6	86	5	86	5	86	5	86	5	strhirespecial2	75	Inner Sight	4	10	0	16	10	Cold Arrow	4	36	0	16	10																									5	15	2	50000
Rogue Scout	Fire - Nightmare	0	2	271	1	2	35	150	merc01	merc41	6000	110	222	12	150	12	60	10	84	16	207	20	6	8	4	41	7	41	7	41	7	41	7	strhirespecial1	75	Inner Sight	4	10	0	7	10	Fire Arrow	4	69	0	7	10																									5	15	2	50000
Rogue Scout	Fire - Nightmare	0	2	271	1	2	59	150	merc01	merc41	6000	110	546	18	474	21	90	10	132	16	687	30	18	20	6	83	5	83	5	83	5	83	5	strhirespecial1	75	Inner Sight	4	10	0	15	10	Fire Arrow	4	69	0	15	10																									5	15	2	50000
Rogue Scout	Ice - Nightmare	0	3	271	1	2	35	150	merc01	merc41	7500	115	222	12	150	12	60	10	84	16	207	20	6	8	4	41	7	41	7	41	7	41	7	strhirespecial2	75	Inner Sight	4	10	0	7	10	Cold Arrow	4	69	0	7	10																									5	15	2	50000
Rogue Scout	Ice - Nightmare	0	3	271	1	2	59	150	merc01	merc41	7500	115	546	18	474	21	90	10	132	16	687	30	18	20	6	83	5	83	5	83	5	83	5	strhirespecial2	75	Inner Sight	4	10	0	15	10	Cold Arrow	4	69	0	15	10																									5	15	2	50000
Rogue Scout	Fire - Hell	0	4	271	1	3	59	150	merc01	merc41	12500	120	492	18	426	21	87	10	127	16	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial1	75	Inner Sight	4	10	0	14	10	Fire Arrow	4	69	0	14	10																									5	15	2	50000
Rogue Scout	Ice - Hell	0	5	271	1	3	59	150	merc01	merc41	14000	125	492	18	426	21	87	10	127	16	618	30	17	19	6	80	5	80	5	80	5	80	5	strhirespecial2	75	Inner Sight	4	10	0	14	10	Cold Arrow	4	69	0	14	10																									5	15	2	50000
Rogue Scout	Fire - Normal	100	0	271	1	1	13	150	merc01	merc41	100	100	173	12	136	9	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial1	75	Inner Sight	4	10	0	1	10	Fire Arrow	4	25	5	1	10	Exploding Arrow	4	0	0	0	0	Immolation Arrow	4	0	0	0	0	Quickness	4	999	0	3	0							5	15	2	66666
Rogue Scout	Fire - Normal	100	0	271	1	1	35	150	merc01	merc41	100	100	500	21	330	18	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial1	75	Inner Sight	4	10	0	12	10	Fire Arrow	4	67	0	12	10	Exploding Arrow	4	25	5	8	10	Immolation Arrow	4	0	0	0	0	Quickness	4	999	0	8	0							5	15	2	66666
Rogue Scout	Fire - Normal	100	0	271	1	1	65	150	merc01	merc41	100	100	1150	33	837	24	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial1	75	Inner Sight	4	10	0	22	10	Fire Arrow	4	67	0	22	10	Exploding Arrow	4	67	0	18	0	Immolation Arrow	4	35	7	5	14	Quickness	4	999	0	14	0							5	15	2	66666
Rogue Scout	Ice - Normal	100	1	271	1	1	13	150	merc01	merc41	150	105	173	12	136	9	35	10	45	16	10	12	1	3	2	0	8	0	8	0	8	0	8	strhirespecial2	75	Inner Sight	4	10	0	1	10	Cold Arrow	4	25	5	1	10	Ice Arrow	4	0	0	0	0	Freezing Arrow	4	0	0	0	0	Quickness	4	999	0	3	0							5	15	2	66666
Rogue Scout	Ice - Normal	100	1	271	1	1	35	150	merc01	merc41	150	105	500	21	330	18	77	10	111	16	406	24	9	11	4	66	7	66	7	66	7	66	7	strhirespecial2	75	Inner Sight	4	10	0	12	10	Cold Arrow	4	67	0	12	10	Ice Arrow	4	25	5	8	10	Freezing Arrow	4	0	0	0	0	Quickness	4	999	0	8	0							5	15	2	66666
Rogue Scout	Ice - Normal	100	1	271	1	1	65	150	merc01	merc41	150	105	1150	33	925	24	116	10	173	16	1150	36	25	27	6	121	5	121	5	121	5	121	5	strhirespecial2	75	Inner Sight	4	10	0	22	10	Cold Arrow	4	67	0	22	10	Ice Arrow	4	67	0	18	0	Freezing Arrow	4	35	7	5	14	Quickness	4	999	0	14	0							5	15	2	66666
Rogue Scout	Fire - Nightmare	100	2	271	1	2	35	150	merc01	merc41	6000	110	500	21	330	18	74	10	106	16	365	24	8	10	4	63	7	63	7	63	7	63	7	strhirespecial1	75	Inner Sight	4	10	0	11	10	Fire Arrow	4	69	0	11	10	Exploding Arrow	4	25	5	8	10	Immolation Arrow	4	0	0	0	0	Quickness	4	999	0	8	0							5	15	2	66666
Rogue Scout	Fire - Nightmare	100	2	271	1	2	65	150	merc01	merc41	6000	110	1150	33	925	24	113	10	168	16	1109	36	24	26	6	118	5	118	5	118	5	118	5	strhirespecial1	75	Inner Sight	4	10	0	21	10	Fire Arrow	4	69	0	21	10	Exploding Arrow	4	67	0	18	0	Immolation Arrow	4	35	7	5	14	Quickness	4	999	0	14	0							5	15	2	66666
Rogue Scout	Ice - Nightmare	100	3	271	1	2	35	150	merc01	merc41	7500	115	500	21	330	18	74	10	106	16	365	24	8	10	4	63	7	63	7	63	7	63	7	strhirespecial2	75	Inner Sight	4	10	0	11	10	Cold Arrow	4	69	0	11	10	Ice Arrow	4	25	5	8	10	Immolation Arrow	4	0	0	0	0	Quickness	4	999	0	8	0							5	15	2	66666
Rogue Scout	Ice - Nightmare	100	3	271	1	2	65	150	merc01	merc41	7500	115	1150	33	925	24	113	10	168	16	1109	36	24	26	6	118	5	118	5	118	5	118	5	strhirespecial2	75	Inner Sight	4	10	0	21	10	Cold Arrow	4	69	0	21	10	Ice Arrow	4	67	0	18	0	Freezing Arrow	4	35	7	5	14	Quickness	4	999	0	14	0							5	15	2	66666
Rogue Scout	Fire - Hell	100	4	271	1	3	65	150	merc01	merc41	12500	120	1150	33	925	24	110	10	163	16	998	36	23	25	6	115	5	115	5	115	5	115	5	strhirespecial1	75	Inner Sight	4	10	0	20	10	Fire Arrow	4	69	0	20	10	Exploding Arrow	4	67	0	18	0	Immolation Arrow	4	35	7	5	14	Quickness	4	999	0	14	0							5	15	2	66666
Rogue Scout	Ice - Hell	100	5	271	1	3	65	150	merc01	merc41	14000	125	1150	33	925	24	110	10	163	16	998	36	23	25	6	115	5	115	5	115	5	115	5	strhirespecial2	75	Inner Sight	4	10	0	20	10	Cold Arrow	4	69	0	20	10	Ice Arrow	4	67	0	18	0	Freezing Arrow	4	35	7	5	14	Quickness	4	999	0	14	0							5	15	2	66666
Desert Mercenary	Comb-Normal	0	6	338	2	1	19	198	merca201	merca221	350	110	135	12	51	12	57	14	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	PalMercEXST4X	30	Jab	14	70	4	3	10	Prayer	1	10	0	3	10																									5	15	2	50000
Desert Mercenary	Comb-Normal	0	6	338	2	1	41	198	merca201	merca221	350	110	384	24	273	18	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	PalMercEXST4X	30	Jab	14	92	4	10	10	Prayer	1	10	0	10	10																									5	15	2	50000
Desert Mercenary	Comb-Normal	0	6	338	2	1	65	198	merca201	merca221	350	110	924	39	705	27	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	PalMercEXST4X	30	Jab	14	116	4	18	10	Prayer	1	10	0	18	0																									5	15	2	50000
Desert Mercenary	Def-Normal	0	7	338	2	1	19	198	merca201	merca221	350	110	135	12	51	12	57	14	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	PalMercExST1X	30	Jab	14	70	4	3	10	Defiance	1	10	0	3	10																									5	15	2	50000
Desert Mercenary	Def-Normal	0	7	338	2	1	41	198	merca201	merca221	350	110	384	24	273	18	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	PalMercExST1X	30	Jab	14	92	4	10	10	Defiance	1	10	0	10	10																									5	15	2	50000
Desert Mercenary	Def-Normal	0	7	338	2	1	65	198	merca201	merca221	350	110	924	39	705	27	138	14	109	12	720	30	36	43	8	104	4	104	4	104	4	104	4	PalMercExST1X	30	Jab	14	116	4	18	0	Defiance	1	10	0	18	0																									5	15	2	50000
Desert Mercenary	Off-Normal	0	8	338	2	1	19	198	merca201	merca221	350	110	135	12	51	12	57	14	40	12	20	10	7	14	4	18	8	18	8	18	8	18	8	PalMercEXST3X	30	Jab	14	70	4	3	10	Blessed Aim	1	10	0	3	10																									5	15	2	50000
Desert Mercenary	Off-Normal	0	8	338	2	1	41	198	merca201	merca221	350	110	384	24	273	18	96	14	73	12	240	20	18	25	6	62	7	62	7	62	7	62	7	PalMercEXST3X	30	Jab	14	92	4	10	10	Blessed Aim	1	10	0	10	10																									5	15	2	50000
